# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
0.584, 3.501, 0.448, 1.044, 9.383, 0.579, 0.489
0.361, 4.179, 0.287, 0.738, 4.269, 0.683, 0.061
0.495, 4.199, 0.545, 0.555, 4.175, 0.6, 0.476
1.097, 4.071, 0.896, 0.875, 8.038, 0.417, 0.028
1.136, 4.579, 0.881, 0.814, 6.053, 0.398, 0.428
1.577, 4.06, 0.798, 0.747, 5.553, 0.331, 0.285
0.851, 3.354, 0.709, 0.952, 9.307, 0.483, 0.459
0.992, 3.881, 0.725, 0.803, 8.002, 0.442, 0.11
0.327, 4.194, 0.343, 0.783, 6.282, 0.673, 0.093
0.581, 3.751, 0.35, 0.941, 9.085, 0.564, 0.346
0.649, 4.02, 0.639, 0.889, 5.775, 0.559, 0.267
0.462, 4.043, 0.399, 0.816, 5.865, 0.614, 0.059
0.438, 4.022, 0.31, 0.822, 6.915, 0.611, 0.412
0.965, 4.055, 0.985, 0.765, 4.502, 0.446, 0.102
0.562, 3.001, 0.289, 1.031, 9.744, 0.591, 0.144
0.447, 4.336, 0.5, 0.707, 4.354, 0.634, 0.095
0.321, 3.86, 0.394, 0.805, 6.628, 0.648, 0.284
0.19, 5.413, 0.458, 0.315, 2.322, 0.765, 0.401
0.359, 3.378, 0.21, 0.981, 8.519, 0.669, 0.292
1.075, 3.749, 0.889, 0.931, 5.782, 0.456, 0.331
0.985, 4.559, 0.58, 0.822, 9.128, 0.431, 0.003
0.6, 3.718, 0.38, 0.929, 6.759, 0.591, 0.428
0.662, 4.36, 0.515, 0.912, 9.656, 0.503, 0.398
1.759, 3.415, 0.899, 0.984, 8.383, 0.338, 0.103
1.695, 3.756, 0.819, 0.927, 9.641, 0.337, 0.305
0.465, 3.513, 0.314, 0.957, 7.943, 0.631, 0.445
1.315, 4.465, 0.817, 0.938, 9.846, 0.375, 0.082
0.129, 4.13, 0.306, 0.348, 2.351, 0.794, 0.447
0.224, 3.99, 0.342, 0.646, 3.583, 0.749, 0.085
0.113, 7.759, 0.379, 0.5, 1.771, 0.844, 0.146
0.485, 4.454, 0.218, 0.688, 6.719, 0.611, 0.376
0.667, 4.169, 0.678, 0.998, 9.415, 0.539, 0.041
0.854, 4.451, 0.613, 0.909, 9.831, 0.46, 0.002
0.477, 3.226, 0.419, 1.017, 6.13, 0.666, 0.455
0.658, 3.673, 0.453, 0.812, 7.153, 0.538, 0.437
1.167, 4.751, 0.762, 0.889, 8.929, 0.386, 0.03
0.231, 3.888, 0.319, 0.667, 3.378, 0.757, 0.085
0.755, 4.256, 0.642, 0.847, 7.346, 0.501, 0.269
0.599, 3.937, 0.528, 0.857, 5.889, 0.55, 0.487
0.362, 3.684, 0.181, 0.879, 6.655, 0.697, 0.175
0.404, 3.69, 0.41, 1.07, 8.32, 0.665, 0.137
0.456, 4.311, 0.388, 0.875, 6.388, 0.587, 0.123
0.148, 4.637, 0.359, 0.406, 2.674, 0.779, 0.09
0.756, 4.436, 0.738, 0.749, 7.016, 0.48, 0.318
1.464, 4.026, 0.904, 0.875, 9.244, 0.348, 0.296
1.388, 3.664, 0.95, 0.799, 5.568, 0.361, 0.368
0.29, 4.318, 0.339, 0.698, 4.424, 0.704, 0.082
0.748, 4.492, 0.416, 0.777, 7.981, 0.506, 0.475
0.422, 4.631, 0.3, 0.774, 7.962, 0.613, 0.204
0.628, 3.683, 0.541, 0.874, 7.981, 0.534, 0.369
0.596, 3.465, 0.537, 0.837, 6.017, 0.582, 0.463
0.773, 3.784, 0.557, 0.883, 7.848, 0.504, 0.386
0.234, 8.821, 0.459, 0.434, 1.542, 0.747, 0.089
0.148, 5.84, 0.371, 0.358, 1.889, 0.805, 0.46
0.626, 4.568, 0.618, 0.742, 5.384, 0.557, 0.461
0.373, 3.898, 0.221, 0.888, 7.333, 0.68, 0.088
0.252, 3.63, 0.32, 0.505, 2.483, 0.792, 0.041
0.338, 4.188, 0.577, 0.793, 4.209, 0.661, 0.437
0.108, 4.376, 0.163, 0.358, 2.467, 0.841, 0.344
1.712, 3.422, 0.857, 0.922, 6.987, 0.323, 0.294
1.376, 3.703, 0.688, 0.943, 9.951, 0.374, 0.476
0.315, 4.493, 0.429, 0.453, 3.193, 0.682, 0.13
0.548, 3.999, 0.518, 0.897, 6.818, 0.571, 0.342
0.939, 4.588, 0.746, 0.849, 7.025, 0.444, 0.432
1.243, 3.993, 0.861, 1.028, 8.905, 0.404, 0.044
0.221, 4.936, 0.469, 0.388, 2.131, 0.754, 0.044
0.26, 4.019, 0.384, 0.56, 2.756, 0.742, 0.151
0.626, 4.127, 0.461, 0.903, 6.987, 0.578, 0.074
0.341, 4.191, 0.608, 0.723, 4.012, 0.685, 0.136
0.552, 3.546, 0.619, 0.859, 5.402, 0.575, 0.44
0.373, 3.077, 0.399, 0.801, 4.967, 0.679, 0.331
0.156, 5.657, 0.282, 0.488, 2.408, 0.817, 0.01
0.23, 4.342, 0.227, 0.664, 3.68, 0.761, 0.303
0.869, 3.347, 0.579, 0.819, 7.84, 0.485, 0.417
0.906, 4.058, 0.613, 0.853, 8.973, 0.456, 0.436
1.541, 4.151, 0.697, 0.9, 8.94, 0.342, 0.305
0.79, 3.818, 0.674, 0.834, 7.848, 0.492, 0.417
0.504, 3.751, 0.48, 0.827, 5.231, 0.615, 0.385
0.161, 5.156, 0.294, 0.427, 2.002, 0.833, 0.234
0.237, 3.807, 0.354, 0.723, 4.843, 0.721, 0.151
0.984, 3.112, 0.545, 0.938, 7.523, 0.476, 0.463
0.373, 4.008, 0.472, 0.629, 4.933, 0.624, 0.307
0.385, 3.289, 0.337, 1.012, 5.784, 0.691, 0.354
0.346, 3.922, 0.334, 0.78, 5.263, 0.688, 0.087
0.287, 4.512, 0.368, 0.522, 2.329, 0.77, 0.447
0.377, 3.071, 0.639, 0.774, 3.046, 0.701, 0.369
0.855, 4.482, 0.689, 0.943, 9.624, 0.449, 0.429
0.347, 4.004, 0.325, 0.719, 5.916, 0.683, 0.102
0.279, 3.615, 0.227, 0.67, 4.135, 0.765, 0.051
0.341, 5.552, 0.608, 0.421, 2.534, 0.664, 0.252
0.461, 3.696, 0.449, 0.954, 7.465, 0.623, 0.079
0.349, 4.696, 0.483, 0.566, 4.002, 0.659, 0.234
0.48, 3.925, 0.574, 0.714, 3.817, 0.649, 0.247
0.278, 3.638, 0.295, 0.622, 4.019, 0.715, 0.271
0.446, 4.635, 0.341, 0.826, 8.72, 0.607, 0.042
0.804, 4.357, 0.572, 0.858, 9.756, 0.483, 0.249
1.984, 3.734, 1.065, 0.958, 5.967, 0.305, 0.316
0.677, 3.472, 0.512, 0.951, 9.578, 0.548, 0.084
0.327, 3.802, 0.655, 0.552, 3.318, 0.69, 0.473
0.79, 4.204, 0.582, 0.92, 7.926, 0.485, 0.347
0.691, 2.972, 0.619, 0.951, 8.283, 0.533, 0.322
0.333, 4.075, 0.277, 0.795, 7.923, 0.65, 0.153
0.592, 3.742, 0.531, 0.816, 5.573, 0.581, 0.46
0.791, 3.792, 0.597, 0.911, 8.326, 0.507, 0.144
0.16, 5.606, 0.199, 0.523, 2.024, 0.874, 0.347
1.328, 4.196, 0.769, 0.837, 8.097, 0.37, 0.405
0.644, 3.895, 0.356, 0.914, 7.802, 0.56, 0.136
1.934, 3.028, 0.849, 1.112, 7.526, 0.328, 0.457
1.069, 3.702, 0.649, 0.962, 8.563, 0.439, 0.326
0.394, 3.466, 0.355, 0.71, 4.98, 0.643, 0.095
1.465, 3.817, 0.884, 0.925, 9.204, 0.345, 0.361
0.476, 3.942, 0.185, 0.982, 9.281, 0.629, 0.147
0.791, 3.7, 0.511, 1.012, 9.754, 0.515, 0.141
0.451, 3.987, 0.363, 0.855, 8.372, 0.612, 0.046
0.425, 4.419, 0.257, 0.946, 9.861, 0.603, 0.106
1.393, 3.896, 0.835, 0.835, 8.413, 0.357, 0.2
0.279, 4.486, 0.356, 0.491, 2.823, 0.761, 0.191
0.321, 3.962, 0.464, 0.581, 3.368, 0.71, 0.466
0.098, 5.592, 0.103, 0.242, 2.144, 0.89, 0.22
0.398, 3.892, 0.579, 0.87, 6.902, 0.602, 0.215
0.356, 3.874, 0.455, 0.552, 4.417, 0.648, 0.044
0.147, 4.562, 0.376, 0.43, 2.344, 0.827, 0.305
0.406, 4.048, 0.3, 0.917, 7.116, 0.662, 0.123
0.543, 3.643, 0.466, 0.831, 6.421, 0.613, 0.355
1.846, 3.393, 0.862, 1.033, 8.618, 0.307, 0.495
0.588, 4.163, 0.36, 0.845, 8.941, 0.565, 0.415
1.264, 4.2, 0.96, 0.97, 7.624, 0.388, 0.382
0.769, 4.069, 0.61, 0.903, 8.789, 0.504, 0.022
0.505, 3.17, 0.539, 0.716, 4.857, 0.638, 0.424
0.736, 3.881, 0.686, 0.801, 6.149, 0.516, 0.429
0.323, 3.471, 0.397, 0.634, 3.343, 0.713, 0.287
0.607, 4.666, 0.571, 0.871, 9.164, 0.531, 0.263
0.583, 3.965, 0.396, 0.861, 7.746, 0.55, 0.101
0.755, 4.03, 0.481, 0.828, 7.523, 0.507, 0.011
0.163, 4.352, 0.269, 0.309, 2.367, 0.802, 0.04
1.243, 4.481, 0.916, 0.905, 8.63, 0.373, 0.12
0.057, 6.677, 0.289, 0.465, 1.548, 0.918, 0.21
0.43, 3.755, 0.448, 0.569, 3.026, 0.67, 0.424
0.395, 4.964, 0.725, 0.517, 3.298, 0.63, 0.293
0.553, 3.587, 0.392, 1.012, 9.272, 0.572, 0.29
0.353, 3.65, 0.232, 0.681, 4.513, 0.715, 0.35
0.607, 3.997, 0.402, 1.108, 9.368, 0.603, 0.093
0.897, 3.766, 0.625, 0.984, 9.951, 0.445, 0.451
0.662, 3.937, 0.809, 0.863, 5.403, 0.528, 0.275
0.743, 3.935, 0.506, 0.899, 7.819, 0.521, 0.331
0.169, 6.18, 0.529, 0.503, 2.162, 0.781, 0.101
0.317, 3.628, 0.117, 0.968, 9.054, 0.702, 0.466
0.352, 3.818, 0.149, 0.755, 7.056, 0.685, 0.071
0.625, 3.58, 0.39, 0.71, 6.346, 0.568, 0.231
1.012, 4.273, 0.793, 0.961, 9.944, 0.423, 0.333
1.389, 4.335, 0.781, 0.873, 9.665, 0.357, 0.293
1.07, 3.77, 0.731, 0.716, 5.253, 0.446, 0.248
0.241, 5.16, 0.494, 0.571, 2.655, 0.754, 0.051
0.434, 3.885, 0.457, 0.878, 5.132, 0.626, 0.335
0.499, 3.902, 0.355, 0.719, 3.903, 0.635, 0.476
1.402, 4.069, 0.872, 0.885, 8.072, 0.358, 0.218
0.611, 3.605, 0.559, 0.985, 9.422, 0.545, 0.356
0.512, 4.651, 0.477, 0.725, 5.323, 0.587, 0.109
0.106, 7.199, 0.131, 0.486, 1.77, 0.871, 0.317
0.6, 3.784, 0.443, 1.028, 9.412, 0.562, 0.401
0.831, 3.898, 0.545, 0.832, 6.985, 0.491, 0.449
0.456, 3.797, 0.35, 0.837, 6.79, 0.62, 0.322
1.845, 3.873, 0.869, 0.931, 6.811, 0.323, 0.156
1.697, 4.24, 1.1, 0.943, 9.755, 0.296, 0.086
1.178, 4.2, 0.646, 0.96, 9.398, 0.393, 0.376
0.381, 3.778, 0.468, 0.784, 5.325, 0.652, 0.23
0.55, 3.249, 0.56, 1.119, 9.966, 0.588, 0.467
0.289, 3.472, 0.36, 0.746, 4.22, 0.729, 0.467
0.485, 3.443, 0.331, 0.794, 7.241, 0.601, 0.4
0.539, 4.645, 0.701, 0.737, 6.034, 0.535, 0.389
0.274, 4.332, 0.429, 0.6, 2.879, 0.741, 0.027
0.35, 3.591, 0.368, 0.916, 5.617, 0.691, 0.048
1.996, 3.585, 1.104, 0.748, 4.331, 0.305, 0.362
0.394, 4.092, 0.233, 0.956, 5.423, 0.688, 0.027
0.477, 3.291, 0.282, 0.993, 6.796, 0.67, 0.174
0.324, 4.072, 0.378, 0.698, 5.177, 0.673, 0.229
0.584, 3.773, 0.529, 0.927, 6.951, 0.577, 0.387
0.09, 6.485, 0.111, 0.346, 1.596, 0.872, 0.168
0.596, 3.525, 0.324, 0.97, 7.803, 0.585, 0.462
0.76, 4.361, 0.654, 0.881, 7.357, 0.503, 0.365
1.152, 3.938, 0.888, 1.012, 8.689, 0.395, 0.188
1.286, 3.531, 0.934, 0.918, 9.031, 0.379, 0.496
1.526, 4.684, 0.974, 0.898, 8.405, 0.327, 0.103
0.551, 3.881, 0.373, 0.973, 7.613, 0.589, 0.41
0.613, 3.892, 0.53, 0.872, 8.221, 0.549, 0.278
0.486, 4.167, 0.465, 0.689, 4.195, 0.612, 0.165
0.316, 4.648, 0.436, 0.643, 2.186, 0.731, 0.142
0.65, 3.521, 0.479, 0.89, 8.875, 0.534, 0.373
0.546, 4.06, 0.401, 0.873, 8.001, 0.587, 0.325
0.563, 3.791, 0.55, 0.823, 5.081, 0.589, 0.435
1.149, 4.083, 0.869, 0.887, 8.127, 0.398, 0.128
0.158, 4.625, 0.434, 0.441, 2.625, 0.774, 0.222
0.299, 3.872, 0.317, 0.799, 4.41, 0.702, 0.239
0.392, 4.101, 0.411, 0.652, 4.468, 0.646, 0.33
0.676, 3.385, 0.504, 0.918, 7.358, 0.553, 0.489
0.536, 3.73, 0.301, 0.966, 8.921, 0.593, 0.392
1.41, 3.644, 1.126, 0.709, 5.141, 0.361, 0.496
1.612, 4.634, 0.929, 0.799, 8.773, 0.321, 0.227
0.559, 4.497, 0.674, 0.717, 4.816, 0.571, 0.202
0.123, 4.7, 0.32, 0.455, 2.54, 0.83, 0.492
1.331, 4.491, 0.565, 0.897, 9.207, 0.388, 0.258
0.638, 4.504, 0.628, 0.892, 8.41, 0.529, 0.279
0.224, 4.069, 0.316, 0.6, 2.85, 0.788, 0.177
0.377, 4.148, 0.58, 0.729, 4.006, 0.65, 0.226
1.622, 3.716, 0.934, 0.97, 9.083, 0.338, 0.101
0.268, 4.324, 0.294, 0.429, 2.987, 0.753, 0.249
1.41, 4.125, 1.025, 0.905, 7.182, 0.37, 0.209
1.007, 4.474, 0.906, 0.94, 9.042, 0.417, 0.208
1.703, 3.808, 0.795, 0.899, 7.92, 0.338, 0.212
0.449, 3.216, 0.157, 0.873, 9.703, 0.632, 0.056
0.875, 4.33, 0.874, 1.041, 8.927, 0.456, 0.077
0.144, 4.869, 0.127, 0.434, 2.6, 0.831, 0.045
0.591, 4.473, 0.452, 0.782, 7.945, 0.563, 0.128
0.395, 3.252, 0.355, 0.916, 5.559, 0.67, 0.317
1.136, 4.666, 0.885, 0.891, 7.602, 0.402, 0.01
1.063, 4.129, 0.85, 0.88, 8.005, 0.407, 0.476
0.506, 4.098, 0.275, 0.904, 9.53, 0.609, 0.152
1.458, 3.591, 0.807, 0.928, 8.206, 0.37, 0.447
1.047, 4.15, 0.684, 1.01, 8.846, 0.418, 0.443
0.166, 5.251, 0.222, 0.395, 1.683, 0.872, 0.429
0.408, 3.774, 0.303, 0.896, 6.307, 0.654, 0.337
1.316, 4.396, 0.948, 0.775, 5.401, 0.372, 0.281
0.962, 4.564, 0.639, 0.713, 6.901, 0.446, 0.321
1.997, 3.952, 0.761, 0.894, 8.617, 0.297, 0.163
0.17, 3.792, 0.226, 0.683, 2.425, 0.835, 0.288
1.293, 5.314, 1.005, 0.825, 8.255, 0.355, 0.068
0.164, 5.238, 0.155, 0.478, 2.187, 0.856, 0.104
0.301, 3.357, 0.417, 0.573, 3.304, 0.733, 0.077
0.199, 9.459, 0.336, 0.225, 1.549, 0.773, 0.205
0.534, 3.752, 0.527, 1.042, 9.555, 0.565, 0.325
1.115, 3.805, 0.752, 0.928, 9.872, 0.418, 0.237
0.307, 4.669, 0.549, 0.548, 3.474, 0.685, 0.38
0.608, 3.591, 0.696, 0.799, 5.339, 0.559, 0.366
0.19, 5.612, 0.19, 0.544, 2.361, 0.819, 0.232
0.694, 4.349, 0.661, 0.934, 9.258, 0.519, 0.222
0.199, 4.44, 0.426, 0.504, 2.457, 0.8, 0.188
0.441, 3.789, 0.257, 0.815, 5.897, 0.645, 0.221
0.858, 4.19, 0.592, 0.957, 8.962, 0.481, 0.487
0.221, 4.757, 0.26, 0.347, 2.061, 0.776, 0.383
0.278, 4.317, 0.194, 0.925, 9.072, 0.697, 0.004
1.426, 4.256, 0.815, 0.807, 7.794, 0.353, 0.427
0.615, 3.895, 0.443, 0.912, 8.854, 0.533, 0.345
0.442, 4.031, 0.465, 0.737, 4.806, 0.629, 0.296
0.487, 3.469, 0.376, 0.847, 7.042, 0.597, 0.417
0.732, 3.994, 0.679, 0.851, 6.431, 0.5, 0.137
0.492, 3.8, 0.383, 0.95, 7.402, 0.639, 0.015
1.703, 4.2, 0.816, 1.061, 9.935, 0.33, 0.286
0.347, 3.77, 0.505, 0.595, 4.416, 0.62, 0.234
0.869, 3.997, 0.715, 0.908, 8.414, 0.476, 0.328
0.386, 4.337, 0.407, 0.577, 4.101, 0.651, 0.059
0.302, 4.048, 0.338, 0.813, 4.918, 0.721, 0.203
0.907, 4.294, 0.676, 0.866, 9.887, 0.452, 0.092
0.405, 4.151, 0.341, 0.68, 4.23, 0.676, 0.091
0.604, 3.814, 0.558, 0.708, 5.293, 0.564, 0.416
1.835, 4.348, 1.065, 0.768, 7.135, 0.289, 0.458
0.543, 4.22, 0.516, 0.772, 7.834, 0.565, 0.149
1.192, 3.837, 0.821, 0.785, 7.641, 0.395, 0.311
1.801, 4.888, 0.766, 0.793, 8.916, 0.297, 0.14
0.44, 3.463, 0.245, 0.988, 9.225, 0.632, 0.176
1.449, 4.258, 1.037, 0.73, 4.848, 0.359, 0.109
0.704, 4.492, 0.701, 1.055, 9.911, 0.508, 0.043
0.389, 3.641, 0.426, 0.885, 6.358, 0.653, 0.171
0.916, 3.856, 0.563, 0.877, 8.273, 0.46, 0.248
0.488, 3.758, 0.511, 1.023, 9.019, 0.584, 0.465
0.627, 4.558, 0.705, 0.694, 4.93, 0.522, 0.246
0.684, 4.292, 0.639, 0.954, 8.359, 0.509, 0.127
0.354, 3.541, 0.259, 0.893, 6.478, 0.673, 0.292
0.878, 3.5, 0.68, 0.889, 7.78, 0.491, 0.346
1.549, 3.844, 0.914, 0.832, 6.894, 0.344, 0.342
0.295, 4.329, 0.421, 0.486, 3.491, 0.7, 0.279
0.232, 3.862, 0.359, 0.708, 4.11, 0.739, 0.096
1.653, 3.887, 0.845, 0.839, 7.833, 0.328, 0.494
1.613, 4.642, 1.08, 0.748, 4.589, 0.34, 0.387
0.652, 3.904, 0.412, 0.746, 6.556, 0.551, 0.337
0.436, 2.981, 0.219, 1.01, 9.589, 0.666, 0.27
0.484, 4.449, 0.318, 0.878, 7.92, 0.594, 0.228
0.474, 4.194, 0.318, 0.852, 5.641, 0.632, 0.019
0.861, 3.83, 0.662, 0.946, 9.64, 0.476, 0.339
0.359, 3.251, 0.584, 0.666, 3.199, 0.713, 0.411
1.407, 3.516, 0.898, 1.007, 9.709, 0.367, 0.175
0.426, 4.057, 0.346, 0.938, 8.198, 0.662, 0.0
0.443, 4.511, 0.383, 0.735, 4.793, 0.645, 0.449
1.659, 3.946, 0.67, 0.882, 8.881, 0.329, 0.398
0.183, 3.54, 0.267, 0.62, 3.143, 0.822, 0.326
0.144, 4.766, 0.216, 0.426, 2.328, 0.82, 0.402
0.888, 4.058, 0.564, 0.951, 9.191, 0.466, 0.357
0.576, 3.372, 0.431, 0.746, 5.079, 0.587, 0.098
0.6, 3.907, 0.577, 0.965, 6.866, 0.592, 0.028
0.472, 4.115, 0.301, 1.041, 8.924, 0.599, 0.134
0.185, 4.005, 0.317, 0.564, 3.627, 0.78, 0.039
0.682, 3.801, 0.466, 1.04, 9.627, 0.575, 0.188
1.889, 4.873, 1.095, 0.661, 5.116, 0.289, 0.231
0.424, 3.669, 0.474, 0.814, 4.72, 0.635, 0.462
0.437, 4.798, 0.549, 0.568, 4.799, 0.605, 0.113
0.386, 3.958, 0.178, 0.956, 8.502, 0.64, 0.463
0.76, 4.016, 0.514, 0.813, 8.216, 0.508, 0.224
0.269, 3.747, 0.436, 0.542, 3.496, 0.721, 0.373
0.365, 3.997, 0.45, 0.711, 2.915, 0.721, 0.42
0.488, 3.542, 0.485, 0.975, 7.818, 0.618, 0.403
0.321, 3.88, 0.672, 0.639, 3.458, 0.674, 0.233
0.332, 4.21, 0.391, 0.478, 3.675, 0.683, 0.385
0.521, 3.522, 0.493, 0.985, 9.487, 0.583, 0.237
0.334, 4.782, 0.594, 0.435, 3.37, 0.684, 0.172
1.463, 4.262, 0.961, 0.881, 6.811, 0.358, 0.32
0.86, 4.42, 0.613, 0.814, 7.519, 0.48, 0.346
0.957, 3.806, 0.799, 0.952, 8.697, 0.445, 0.473
0.56, 4.074, 0.516, 0.839, 7.417, 0.582, 0.215
0.565, 3.568, 0.365, 0.75, 6.647, 0.59, 0.311
1.115, 4.048, 0.77, 0.984, 9.785, 0.4, 0.418
0.711, 4.127, 0.657, 0.82, 7.032, 0.517, 0.414
0.483, 3.053, 0.276, 0.921, 6.001, 0.638, 0.367
0.134, 7.426, 0.25, 0.307, 1.754, 0.801, 0.185
0.581, 4.222, 0.469, 0.987, 9.837, 0.559, 0.22
0.733, 3.891, 0.663, 0.901, 6.664, 0.525, 0.29
1.236, 4.794, 0.883, 0.909, 9.913, 0.378, 0.034
0.102, 6.791, 0.206, 0.39, 2.11, 0.866, 0.073
0.154, 5.826, 0.138, 0.042, 2.136, 0.814, 0.131
0.154, 4.318, 0.394, 0.284, 2.11, 0.8, 0.191
0.7, 3.813, 0.369, 1.047, 9.343, 0.546, 0.452
0.425, 3.863, 0.261, 0.88, 8.225, 0.621, 0.425
0.682, 4.473, 0.648, 0.722, 4.972, 0.545, 0.105
1.483, 3.873, 0.647, 0.926, 7.662, 0.348, 0.41
0.41, 3.327, 0.255, 0.973, 8.284, 0.652, 0.274
0.12, 7.698, 0.393, 0.31, 1.749, 0.825, 0.044
1.622, 4.721, 1.017, 0.847, 6.217, 0.335, 0.132
0.555, 3.451, 0.587, 1.016, 6.945, 0.591, 0.084
0.584, 3.658, 0.298, 0.847, 8.173, 0.595, 0.399
0.772, 4.457, 0.656, 0.864, 9.262, 0.485, 0.099
0.371, 4.206, 0.445, 0.778, 6.661, 0.658, 0.013
0.319, 4.396, 0.29, 0.818, 4.69, 0.693, 0.134
0.567, 3.727, 0.756, 0.703, 4.488, 0.559, 0.25
0.777, 4.429, 0.605, 0.937, 9.833, 0.478, 0.018
0.359, 3.872, 0.32, 0.749, 5.49, 0.647, 0.47
0.558, 3.981, 0.482, 1.019, 6.664, 0.599, 0.127
